tic_id,name,toi,sector,period_days,t0_bjd,duration_hours,depth_ppm,r_star_rsun,m_star_msun,expected_disp
141527965,TOI-1216.01,1216.01,,4.554183,2458325.4242,7.81,187.8,0.64,1.0,PC
248092710,TOI-1217.01,1217.01,,41.485613,2458574.9407,6.69,959.8,3.49,1.0,PC
294781547,TOI-1218.01,1218.01,,13.773945,2460871.0311,3.01,374.0,1.02,1.0,PC
294981566,TOI-1219.01,1219.01,,1.914269,2460906.42,3.85,236.6,1.59,1.0,PC
231702397,TOI-122.01,122.01,,5.078032,2458329.119,1.21,5923.1,0.33,1.0,CP
349095149,TOI-1221.01,1221.01,,91.682783,2458404.1815,9.75,713.2,1.02,1.0,CP
374997123,TOI-1222.01,1222.01,,10.194499,2458329.4663,2.26,317.3,1.33,1.0,PC
299798795,TOI-1224.01,1224.01,,4.178266,2458327.7051,1.68,2537.7,0.4,1.0,CP
299798795,TOI-1224.02,1224.02,,17.945365,2458329.8626,3.07,5480.7,0.4,1.0,CP
150428703,TOI-1225.01,1225.01,,13.896396,2458414.0829,3.59,748.5,0.89,1.0,PC
150428703,TOI-1225.02,1225.02,,8.12131,2458414.5481,3.1,594.6,0.89,1.0,PC
177115354,TOI-1226.01,1226.01,,3.928785,2458438.4583,1.82,486.0,0.99,1.0,PC
360156606,TOI-1227.01,1227.01,,27.361378,2458617.4793,4.06,20690.7,0.44,1.0,CP
300038935,TOI-1228.01,1228.01,,29.04968,2460904.7019,7.31,297.1,1.8,1.0,CP
290131778,TOI-123.01,123.01,,3.308892,2460175.035,6.11,4736.0,2.62,1.0,CP
287156968,TOI-1230.01,1230.01,,25.057347,2460825.3578,6.37,567.4,1.15,1.0,CP
447061717,TOI-1231.01,1231.01,,24.245497,2458563.8905,3.37,6260.7,0.47,1.0,CP
364395234,TOI-1232.01,1232.01,,14.254562,2460938.7736,4.73,7899.7,1.1,1.0,CP
260647166,TOI-1233.01,1233.01,,14.175895,2459308.4812,3.75,907.1,0.86,1.0,CP
260647166,TOI-1233.02,1233.02,,19.590158,2459311.4028,4.0,1182.7,0.86,1.0,CP
260647166,TOI-1233.03,1233.03,,6.203622,2459310.633,3.01,548.9,0.86,1.0,CP
260647166,TOI-1233.04,1233.04,,3.79589,2458572.1076,2.46,317.5,0.86,1.0,CP
103633434,TOI-1235.01,1235.01,,3.444701,2460333.6315,1.91,796.0,0.63,1.0,CP
120757718,TOI-1236.01,1236.01,,3.030072,2459422.6906,2.55,21794.6,0.86,1.0,KP
120960812,TOI-1237.01,1237.01,,12.72038,2459781.6659,2.4,1070.0,1.48,1.0,KP
120960812,TOI-1237.02,1237.02,,6.238755,2458685.4099,3.62,373.6,1.48,1.0,KP
153951307,TOI-1238.01,1238.01,,3.294769,2458684.2873,1.75,1324.0,0.62,1.0,CP
153951307,TOI-1238.02,1238.02,,0.764581,2458684.1047,1.07,395.0,0.62,1.0,CP
154716798,TOI-1239.01,1239.01,,12.639698,2459604.0958,3.38,3292.7,0.79,1.0,PC
158170594,TOI-1240.01,1240.01,,1.720856,2459421.3299,1.83,10014.3,1.33,1.0,KP
159107668,TOI-1241.01,1241.01,,4.78026,2459421.2361,1.46,1015.5,2.34,1.0,PC
198212955,TOI-1242.01,1242.01,,0.381485,2459664.1266,0.56,570.0,0.71,1.0,PC
219698776,TOI-1243.01,1243.01,,4.659517,2459598.1432,0.9,1725.2,0.49,1.0,CP
219850915,TOI-1244.01,1244.01,,6.400281,2459913.8109,2.16,1026.6,0.72,1.0,CP
229781583,TOI-1245.01,1245.01,,4.820451,2459764.3293,1.76,1930.0,0.52,1.0,CP
230127302,TOI-1246.01,1246.01,,18.654883,2459733.6438,5.44,1495.4,0.88,1.0,CP
230127302,TOI-1246.02,1246.02,,4.307451,2459737.5872,2.34,1094.8,0.88,1.0,CP
230127302,TOI-1246.03,1246.03,,5.904128,2459740.3043,2.77,773.9,0.88,1.0,CP
230127302,TOI-1246.04,1246.04,,37.925198,2458700.6973,3.53,1370.8,0.88,1.0,CP
232540264,TOI-1247.01,1247.01,,15.923488,2460311.8449,4.02,493.0,1.08,1.0,CP
232612416,TOI-1248.01,1248.01,,4.360154,2458687.1215,2.34,5592.3,0.87,1.0,CP
232976128,TOI-1249.01,1249.01,,13.079158,2460342.3491,2.97,1143.0,1.0,1.0,CP
52368076,TOI-125.01,125.01,,4.651719,2460206.7442,2.71,978.0,0.85,1.0,CP
52368076,TOI-125.02,125.02,,9.154942,2460202.0499,2.46,1101.0,0.85,1.0,CP
52368076,TOI-125.03,125.03,,19.981571,2460181.1466,2.72,909.0,0.85,1.0,CP
233211762,TOI-1252.01,1252.01,,1.121971,2459662.0429,0.82,3997.6,0.62,1.0,PC
237222864,TOI-1255.01,1255.01,,10.288886,2460646.5447,1.39,854.0,0.87,1.0,CP
278348461,TOI-1257.01,1257.01,,5.452648,2459820.9774,3.4,7750.0,1.57,1.0,KP
288132261,TOI-1258.01,1258.01,,10.26134,2460333.6488,4.86,726.0,1.49,1.0,PC
288735205,TOI-1259.01,1259.01,,3.477978,2459764.8741,2.51,27021.7,0.77,1.0,CP
70440470,TOI-126.01,126.01,,3.035402,2458326.7309,2.88,16196.2,1.07,1.0,KP
355867695,TOI-1260.01,1260.01,,3.127463,2459634.7605,1.98,1331.8,0.69,1.0,CP
355867695,TOI-1260.02,1260.02,,7.493161,2458686.1197,1.93,1650.6,0.69,1.0,CP
355867695,TOI-1260.03,1260.03,,49.825166,2458879.3235,3.87,2059.4,0.69,1.0,CP
356311210,TOI-1261.01,1261.01,,18.057402,2459628.7714,3.59,1198.1,1.01,1.0,PC
365938305,TOI-1262.01,1262.01,,20.877441,2460322.358,3.56,771.0,0.9,1.0,CP
406672232,TOI-1263.01,1263.01,,1.021456,2460557.9285,1.25,319.0,0.82,1.0,PC
416195870,TOI-1264.01,1264.01,,2.744167,2459765.8193,1.42,5650.0,0.97,1.0,PC
424865156,TOI-1265.01,1265.01,,2.204745,2460558.8006,4.0,6872.0,1.99,1.0,KP
467179528,TOI-1266.01,1266.01,,10.894842,2459649.7513,2.07,3168.4,0.44,1.0,CP
467179528,TOI-1266.02,1266.02,,18.801611,2459630.0464,1.91,1686.8,0.44,1.0,CP
158561566,TOI-1267.01,1267.01,,6.790098,2459425.4128,6.08,2158.2,2.0,1.0,KP
142394656,TOI-1268.01,1268.01,,8.157721,2460359.6072,3.79,10273.0,0.9,1.0,CP
198241702,TOI-1269.01,1269.01,,4.252964,2458686.6088,2.57,758.6,0.85,1.0,CP
198241702,TOI-1269.02,1269.02,,9.23787,2459739.097,2.54,660.0,0.85,1.0,PC
234523599,TOI-127.01,127.01,,3.795518,2458325.6506,2.02,52279.0,0.45,1.0,CP
286923464,TOI-1271.01,1271.01,,6.134978,2459657.4495,5.66,3860.0,2.05,1.0,KP
417948359,TOI-1272.01,1272.01,,3.315977,2459661.4014,1.49,2770.0,0.81,1.0,CP
445859771,TOI-1273.01,1273.01,,4.631301,2459684.9201,1.44,4860.0,1.07,1.0,CP
459969957,TOI-1274.01,1274.01,,19.320348,2459736.3408,4.21,13910.0,0.8,1.0,PC
153949511,TOI-1277.02,1277.02,,14.855969,2460319.121,3.71,1127.0,0.86,1.0,PC
163539739,TOI-1278.01,1278.01,,14.475106,2459826.5402,1.62,9618.6,0.55,1.0,CP
224297258,TOI-1279.01,1279.01,,9.614164,2459659.6735,3.43,933.7,0.84,1.0,CP
391949880,TOI-128.01,128.01,,4.94048,2460847.7741,2.12,417.0,1.13,1.0,CP
230017324,TOI-1280.01,1280.01,,9.692639,2458691.3025,3.02,1838.2,0.75,1.0,PC
232971294,TOI-1281.01,1281.01,,6.390888,2460351.3141,3.77,435.0,1.32,1.0,CP
236445129,TOI-1282.01,1282.01,,0.968993,2459445.8929,2.55,13533.0,1.41,1.0,KP
