name,tic_id,status,regime,period_days,t0_bjd,depth_ppm,radius_earth,radius_jupiter,mass_earth,mass_jupiter,density_g_cm3,k_semiamp_ms,transit_duration_hours,r_star_rsun,m_star_msun,centroid_offset_arcsec,centroid_sigma,fpp,interior_classification
Kepler-93b,137151335,PASSED,Super-Earth / Rocky,4.72673978,2454944.29227,273.1,1.478,0.132,4.66,0.0147,7.96,1.89,2.8898,0.919,0.911,0.2,0.6,0.0003,Super-Earth (Dense Rocky)
Kepler-102b,123357864,PASSED,Terrestrial / Sub-Earth,5.286965,2454968.8696,43.0,0.46,0.041,1.1,0.0035,62.31,0.47,2.591,0.724,0.803,0.14,0.7,0.0004,Terrestrial / Iron-Silicate (Rocky)
Kepler-103b,121865656,PASSED,Sub-Neptune / Water World,15.9653287,2455677.65243,486.1,3.4857,0.311,11.67,0.0367,1.52,2.75,4.527,1.492,1.212,0.19,0.4,0.0002,Sub-Neptune / Ice Giant
Kepler-107b,27988327,PASSED,Super-Earth / Rocky,3.1800218,2455701.08414,121.9,1.536,0.137,3.8,0.012,5.78,1.44,3.633,1.447,1.238,0.11,0.4,0.0003,Super-Earth (Dense Rocky)
Kepler-109b,122441003,PASSED,Sub-Neptune / Water World,6.4816307,2454955.97791,301.5,2.49,0.222,4.9,0.0154,1.75,1.6,3.649,1.387,1.094,0.19,0.7,0.0002,Mini-Neptune / Low-Density Super-Earth
Kepler-409b,270619260,PASSED,Super-Earth / Rocky,68.9583216,2455012.0829,123.8,1.199,0.107,6.0,0.0189,19.19,1.6,3.0854,0.897,0.913,0.14,0.5,0.0002,Super-Earth (Dense Rocky)
Kepler-454b,121276638,PASSED,Sub-Neptune / Water World,10.5737534,2455008.06758,302.4,2.37,0.211,5.4,0.017,2.24,1.64,1.7259,1.066,1.03,0.12,0.5,0.0002,Water World / Volatile-Rich Super-Earth
Kepler-538b,28227113,PASSED,Sub-Neptune / Water World,81.73778,2455044.6789,641.6,2.215,0.198,12.9,0.0406,6.55,2.09,6.7005,0.8717,0.892,0.18,0.5,0.0003,Water Giant / Ocean Planet
Kepler-1655b,120973167,PASSED,Sub-Neptune / Water World,11.8728787,2455013.89795,343.2,2.213,0.197,5.4,0.017,2.75,1.51,2.3661,1.03,1.03,0.18,0.4,0.0003,Water World / Volatile-Rich Super-Earth
K2-2b,422618449,PASSED,Sub-Neptune / Water World,9.1004157,2458072.29291,889.0,2.469,0.22,9.7,0.0305,3.55,3.54,2.431,0.758,0.8,0.2,0.5,0.0002,Water World / Volatile-Rich Super-Earth
K2-3b,173103335,PASSED,Sub-Neptune / Water World,10.0546535,2457165.32947,1416.0,2.078,0.185,5.11,0.0161,3.14,2.27,2.563,0.546,0.549,0.18,0.4,0.0002,Water World / Volatile-Rich Super-Earth
K2-36b,363445121,PASSED,Super-Earth / Rocky,1.422614,2456810.8916,345.0,1.43,0.128,4.3,0.0135,8.11,2.85,1.1232,0.718,0.79,0.1,0.6,0.0003,Super-Earth (Dense Rocky)
K2-38b,12666215,PASSED,Super-Earth / Rocky,4.01593,2456896.8786,260.7,1.54,0.137,7.3,0.023,11.02,2.95,2.74,1.06,1.03,0.18,0.6,0.0002,Super-Earth (Dense Rocky)
K2-110b,287333762,PASSED,Sub-Neptune / Water World,13.86375,2457275.32992,1361.0,2.592,0.231,15.9,0.05,5.03,5.25,3.22,0.713,0.738,0.17,0.4,0.0001,Water Giant / Ocean Planet
K2-111b,14227229,PASSED,Sub-Neptune / Water World,5.3518963,2459519.1348,118.4,1.837,0.164,5.35,0.0168,4.76,2.23,3.2362,1.25,0.84,0.18,0.5,0.0003,Water World / Volatile-Rich Super-Earth
K2-131b,176868951,PASSED,Super-Earth / Rocky,0.3693038,2457582.936,755.7,1.69,0.151,7.9,0.0249,9.02,8.0,1.0027781,0.7595,0.803,0.19,0.6,0.0003,Super-Earth (Dense Rocky)
